CODE,MIN,MODE,MAX,COMMENTS
966529,150.31,300.63,601.26,60 ACTUAT budesonide 0.09 MG/ACTUAT Dry Powder Inhaler [Pulmicort]
979464,0.0,24.32,35.74,hydrochlorothiazide 12.5 MG / losartan potassium 100 MG Oral Tablet
979466,315.74,408.24,500.73,hydrochlorothiazide 12.5 MG / losartan potassium 100 MG Oral Tablet [Hyzaar]
979468,0.0,19.91,30.45,hydrochlorothiazide 12.5 MG / losartan potassium 50 MG Oral Tablet
979470,261.12,327.21,393.29,hydrochlorothiazide 12.5 MG / losartan potassium 50 MG Oral Tablet [Hyzaar]
979471,0.0,27.39,42.66,hydrochlorothiazide 25 MG / losartan potassium 100 MG Oral Tablet
979473,369.57,429.47,489.36,hydrochlorothiazide 25 MG / losartan potassium 100 MG Oral Tablet [Hyzaar]
979480,0.0,14.17,49.62,losartan potassium 100 MG Oral Tablet
979487,146.25,292.5,585.0,losartan potassium 25 MG Oral Tablet [Cozaar]
979494,328.29,373.42,418.54,losartan potassium 50 MG Oral Tablet [Cozaar]
1245441,701.07,858.45,1015.82,ezetimibe 10 MG / simvastatin 40 MG Oral Tablet [Vytorin]
1361226,0.0,2.27,46.2,"heparin sodium, porcine 1000 UNT/ML Injectable Solution"
1431987,665.95,1331.89,2663.78,24 HR tacrolimus 5 MG Extended Release Oral Capsule [Astagraf]
1435630,622.08,1244.16,2488.32,enalapril maleate 1 MG/ML Oral Solution [Epaned]
1536144,126.28,252.55,505.1,120 ACTUAT mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler [Asmanex]
1536148,159.97,319.93,639.86,120 ACTUAT mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Asmanex]
1547660,149.5,299.0,598.0,30 ACTUAT fluticasone furoate 0.1 MG/ACTUAT Dry Powder Inhaler [Arnuity]
1547672,206.72,413.44,826.88,30 ACTUAT fluticasone furoate 0.2 MG/ACTUAT Dry Powder Inhaler [Arnuity]
1656346,988.18,1150.94,1313.7,sacubitril 24 MG / valsartan 26 MG Oral Tablet [Entresto]
1656351,1082.69,1280.47,1478.26,sacubitril 49 MG / valsartan 51 MG Oral Tablet [Entresto]
1656356,1149.95,1381.57,1613.18,sacubitril 97 MG / valsartan 103 MG Oral Tablet [Entresto]
1664463,719.92,724.07,728.22,24 HR tacrolimus 1 MG Extended Release Oral Tablet [Envarsus]
1664986,0.0,472.09,980.14,aztreonam 2000 MG Injection
1665060,86.35,113.26,161.9,cefazolin 2000 MG Injection
1806890,848.24,1696.48,3392.96,lisinopril 1 MG/ML Oral Solution [Qbrelis]
1998772,188.07,376.15,752.3,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar]
1998774,132.29,264.59,529.18,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar]
2563431,0.0,11.57,23.14,aspirin 81 MG Oral Capsule [Vazalore]
