CODE,MIN,MODE,MAX,COMMENTS
978950,0.0,256.66,513.32,{5 (dienogest 2 MG / estradiol valerate 2 MG Oral Tablet) / 17 (dienogest 3 MG / estradiol valerate 2 MG Oral Tablet) / 2 (estradiol valerate 1 MG Oral Tablet) / 2 (estradiol valerate 3 MG Oral Tablet) / 2 (inert ingredients 1 MG Oral Tablet) } Pack [N...
996740,362.12,381.56,407.33,memantine hydrochloride 2 MG/ML Oral Solution
997501,0.0,1.63,7.57,fexofenadine hydrochloride 60 MG Oral Tablet
1014676,0.0,25.68,46.91,cetirizine hydrochloride 5 MG Oral Tablet
1049625,2002.61,4005.22,8010.44,acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet [Percocet]
1049221,0.0,10.51,17.53,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet
1049683,0.0,18.92,61.53,oxycodone hydrochloride 10 MG Oral Tablet
1091392,0.0,24.52,36.9,methylphenidate hydrochloride 20 MG Oral Tablet
1652673,36.59,39.05,43.39,doxycycline monohydrate 50 MG Oral Tablet
1659131,0.0,55.66,137.53,piperacillin 2000 MG / tazobactam 250 MG Injection
197604,0.0,22.25,30.69,digoxin 0.125 MG Oral Tablet
314076,0.0,5.36,10.74,lisinopril 10 MG Oral Tablet
197541,0.0,54.49,96.9,colchicine 0.6 MG Oral Tablet
198440,0.0,2.19,14.65,acetaminophen 500 MG Oral Tablet
312938,0.0,8.48,16.2,sertraline 100 MG Oral Tablet
665078,0.0,7.89,15.79,loratadine 5 MG Chewable Tablet
672149,2497.51,4995.02,9990.04,lapatinib 250 MG Oral Tablet
309097,0.0,13.13,16.79,cefuroxime 250 MG Oral Tablet
310798,0.0,3.19,4.69,hydrochlorothiazide 25 MG Oral Tablet
314077,0.0,5.91,13.22,lisinopril 20 MG Oral Tablet
351875,65.77,164.61,223.78,72 HR scopolamine 0.0139 MG/HR Transdermal System [Transderm Scop]
245314,17.91,31.06,44.21,albuterol 5 MG/ML Inhalation Solution
200033,0.0,9.75,16.02,carvedilol 25 MG Oral Tablet
312615,0.0,2.69,5.92,prednisone 20 MG Oral Tablet
483438,0.0,37.22,46.76,pregabalin 100 MG Oral Capsule
351266,61.34,75.05,133.79,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet
242969,0.0,0.0,0.0,4 ML norepinephrine 1 MG/ML Injection
1856546,581.13,1162.26,2324.52,levonorgestrel 0.000729 MG/HR Intrauterine System [Kyleena]
1860480,0.0,71.36,277.73,1 ML docetaxel 20 MG/ML Injection
