gap,state,code,module
procedure->HCPCS,Normal_Birth_Procedure,"386216000 Human parturition, function (observable entity)",pregnancy.json
procedure->HCPCS,Premature_Birth_Procedure,367494004 Premature birth of newborn (finding),pregnancy.json
procedure->HCPCS,Methotrexate_Injection,236931002 Methotrexate injection into tubal pregnancy (procedure),pregnancy.json
procedure->HCPCS,Ectopic_Pregnancy_Surgery_Procedure,445912000 Excision of fallopian tube and surgical removal of ectopic pregnancy (procedure),pregnancy.json
procedure->HCPCS,RhoD_Immune_Globulin_Post_Miscarriage,51116004 Passive immunization (procedure),pregnancy.json
procedure->HCPCS,Induced_Abortion_Therapy,10383002 Counseling for termination of pregnancy (procedure),pregnancy.json
procedure->HCPCS,Induced_Abortion_Procedure,714812005 Induced termination of pregnancy (procedure),pregnancy.json
procedure->HCPCS,RhoD_Immune_Globulin_Post_Abortion,51116004 Passive immunization (procedure),pregnancy.json
procedure->HCPCS,Pregnancy_Termination_Care,386394001 Pregnancy termination care (regime/therapy),pregnancy.json
procedure->HCPCS,RhoD_Immune_Globulin_Post_Birth,51116004 Passive immunization (procedure),pregnancy.json
procedure->HCPCS,Psychiatric_Evaluation,90407005 Evaluation of psychiatric state of patient (procedure),self_harm.json
procedure->HCPCS,Short_Hospital_Stay,"74857009 Hospital admission, short-term, 24 hours (procedure)",self_harm.json
procedure->HCPCS,Followup_Psychiatric_Evaluation,88848003 Psychiatric follow-up (procedure),self_harm.json
procedure->HCPCS,Autopsy_Examination,29240004 Autopsy examination (procedure),self_harm.json
procedure->HCPCS,Fluid_Resuscitation,430701006 Resuscitation using intravenous fluid (procedure),sepsis.json
admin-med->HCPCS,Norepinephrine,242969 4 ML norepinephrine 1 MG/ML Injection,sepsis.json
procedure->HCPCS,Admit_to_Inpatient,449214001 Transfer to stepdown unit (procedure),sepsis.json
procedure->HCPCS,Ventilator_Weaning,243174005 Weaning from mechanically assisted ventilation (regime/therapy),sepsis.json
procedure->HCPCS,Fluid_Resuscitation2,430701006 Resuscitation using intravenous fluid (procedure),sepsis.json
med->NDC,Prescribe_Alternative_Antibiotic,1649987 doxycycline hyclate 100 MG,sinusitis.json
procedure->HCPCS,Sleep Study,82808001 Sleep apnea monitoring with alarm (regime/therapy),sleep_apnea.json
procedure->HCPCS,Sleep Study,10563004 Sleep disorder function test (procedure),sleep_apnea.json
procedure->HCPCS,Referral to Sleep Specialist,698560000 Referral to sleep apnea clinic (procedure),sleep_apnea.json
procedure->HCPCS,Referral to Overnight,698560000 Referral to sleep apnea clinic (procedure),sleep_apnea.json
procedure->HCPCS,Professional_Services_Care,409023009 Professional / ancillary services care (regime/therapy),snf/skilled_nursing_facility.json
procedure->HCPCS,Discharge_From_SNF,308283009 Discharge from hospital (procedure),snf/skilled_nursing_facility.json
procedure->HCPCS,Ventriculoperitoneal_Shunt,47020004 Ventriculoperitoneal shunt (procedure),spina_bifida.json
procedure->HCPCS,Orthopedic_Exam,363215001 Musculoskeletal system physical examination (procedure),spina_bifida.json
procedure->HCPCS,ETV,441763001 Endoscopic exteriorization of third ventricle (procedure),spina_bifida.json
procedure->HCPCS,CPC,17881005 Cauterization of choroid plexus (procedure),spina_bifida.json
procedure->HCPCS,MRI_Spine,241645008 Magnetic resonance imaging of spine (procedure),spina_bifida.json
procedure->HCPCS,Muscle_Testing,9002005 Manual testing of muscle function (procedure),spina_bifida.json
condition->ICD,Latex_Allergy,1003755004 Allergy to Hevea brasiliensis latex protein (finding),spina_bifida.json
procedure->HCPCS,Urodynamic_Test,252895004 Urodynamic studies (procedure),spina_bifida.json
procedure->HCPCS,Renal_Ultrasound,709640007 Doppler ultrasonography of renal vein (procedure),spina_bifida.json
procedure->HCPCS,Mechanical Thrombectomy,433112001 Percutaneous mechanical thrombectomy of portal vein using fluoroscopic guidance with contrast (procedure),stroke.json
med->NDC,Alteplase,1804799 Alteplase 100 MG Injection,stroke.json
procedure->HCPCS,Intubation,52765003 Intubation (procedure),surgery/general_anesthesia.json
admin-med->HCPCS,Paralytic,1234995 Rocuronium bromide 10 MG/ML Injectable Solution,surgery/general_anesthesia.json
admin-med->HCPCS,Remifentanil,1729584 remifentanil 2 MG Injection,surgery/general_anesthesia.json
admin-med->HCPCS,Alfentanil,1723208 10 ML Alfentanil 0.5 MG/ML Injection,surgery/general_anesthesia.json
admin-med->HCPCS,Sufentanil,1809104 5 ML SUFentanil 0.05 MG/ML Injection,surgery/general_anesthesia.json
admin-med->HCPCS,Isoflurane,542347 isoflurane 999 MG/ML Inhalation Solution,surgery/general_anesthesia.json
admin-med->HCPCS,Desflurane,562366 desflurane 1000 MG/ML Inhalation Solution,surgery/general_anesthesia.json
admin-med->HCPCS,Sevoflurane,200243 sevoflurane 1000 MG/ML Inhalation Solution,surgery/general_anesthesia.json
procedure->HCPCS,Knee_Replacement_Procedure,609588000 Prosthetic total arthroplasty of knee joint (procedure),total_joint_replacement.json
procedure->HCPCS,Hip_Replacement_Procedure,52734007 Total replacement of hip (procedure),total_joint_replacement.json
condition->ICD,Leukemia,"93143009 Leukemia, disease (disorder)",trigger_bone_marrow_transplant.json
med->NDC,Nitro 5 day,"1648755 nitrofurantoin, macrocrystals 25 MG / nitrofurantoin, monohydrate 75 MG Oral Capsule",uti/abx_tx.json
med->NDC,Nitro 7 day,"1648756 nitrofurantoin, macrocrystals 25 MG / nitrofurantoin, monohydrate 75 MG [Macrobid]",uti/abx_tx.json
med->NDC,Fosfo,808917 fosfomycin 3000 MG Granules for Oral Solution,uti/abx_tx.json
med->NDC,"AmxClav 500, 5 day",617296 amoxicillin 500 MG / clavulanate 125 MG Oral Tablet,uti/abx_tx.json
med->NDC,"AmxClav 875, 7 day",562508 amoxicillin 875 MG / clavulanate 125 MG Oral Tablet,uti/abx_tx.json
med->NDC,"AmxClav 875, 10 day",562508 amoxicillin 875 MG / clavulanate 125 MG Oral Tablet,uti/abx_tx.json
med->NDC,"Cipro 250, 3 day",197511 ciprofloxacin 250 MG Oral Tablet,uti/abx_tx.json
med->NDC,Cefpo 100,309076 cefpodoxime 100 MG Oral Tablet,uti/abx_tx.json
med->NDC,Cefpo 200,309078 cefpodoxime 200 MG Oral Tablet,uti/abx_tx.json
procedure->HCPCS,Triage,386478007 Triage: emergency center (procedure),uti/ed_bundle.json
procedure->HCPCS,Vitals,61746007 Taking patient vital signs (procedure),uti/ed_bundle.json
procedure->HCPCS,History and Physical Exam,14736009 History and physical examination with evaluation and management of patient (procedure),uti/ed_bundle.json
procedure->HCPCS,CBC,26604007 Complete blood count (procedure),uti/ed_bundle.json
procedure->HCPCS,Urinalysis,441550005 Urinalysis with reflex to microscopy and culture (procedure),uti/ed_bundle.json
procedure->HCPCS,CMP,371361000119107 Comprehensive metabolic panel (procedure),uti/ed_bundle.json
procedure->HCPCS,BMP,866146005 Serum metabolic panel (procedure),uti/ed_bundle.json
procedure->HCPCS,Blood Culture,30088009 Blood culture (procedure),uti/ed_bundle.json
procedure->HCPCS,Pregnancy Test,252160004 Standard pregnancy test (procedure),uti/gu_pregnancy_check.json
procedure->HCPCS,Discuss Pregnancy,440546007 Discussion about pregnancy (procedure),uti/gu_pregnancy_check.json
procedure->HCPCS,Discussion about signs and symptoms,223470000 Discussion about signs and symptoms (procedure),uti/hpi.json
procedure->HCPCS,Inform Patient,165355002 Patient informed - test result (situation),uti/lab_follow_up.json
procedure->HCPCS,Lab Finding Education,"410299006 Lab findings education, guidance, and counseling (procedure)",uti/lab_follow_up.json
procedure->HCPCS,Discussion,223484005 Discussion about treatment (procedure),uti/lab_follow_up.json
procedure->HCPCS,Prescribe Abx,33633005 Prescription of drug (procedure),uti/lab_follow_up.json
procedure->HCPCS,Evaluate Abx Response,225953001 Evaluating response to treatment (procedure),uti/lab_follow_up.json
procedure->HCPCS,Change Treatment,445528004 Treatment changed (situation),uti/lab_follow_up.json
procedure->HCPCS,Collection,57617002 Urine specimen collection (procedure),uti/labs.json
procedure->HCPCS,Dipstick,167226008 Urine dipstick test (procedure),uti/labs.json
procedure->HCPCS,Urinalysis Micro,441550005 Urinalysis with reflex to microscopy and culture (procedure),uti/labs.json
procedure->HCPCS,Referral_to_Labs,266753000 Referral for laboratory tests (procedure),uti/telemed_path.json
procedure->HCPCS,Positive_PHQ9,112001000119100 Positive screening for depression on Patient Health Questionnaire 9 (finding),veteran_mdd.json
procedure->HCPCS,Negative_PHQ9,112011000119102 Negative screening for depression on Patient Health Questionnaire 9 (finding),veteran_mdd.json
procedure->HCPCS,positive_re_eval_phq9,112001000119100 Positive screening for depression on Patient Health Questionnaire 9 (finding),veteran_mdd.json
procedure->HCPCS,negative_re_eval_phq9,112011000119102 Negative screening for depression on Patient Health Questionnaire 9 (finding),veteran_mdd.json
procedure->HCPCS,Columbia Suicide Risk Assessment,225337009 Suicide risk assessment (procedure),veteran_ptsd.json
procedure->HCPCS,Inpatient Suicide Risk Assessment,225337009 Suicide risk assessment (procedure),veteran_ptsd.json
procedure->HCPCS,Columbia_Suicide_Risk_Assessment,225337009 Suicide risk assessment (procedure),veteran_ptsd.json
procedure->HCPCS,PC-PTSD Screen,385892002 Mental health screening (procedure),veteran_ptsd.json
procedure->HCPCS,Psychiatric_Evaluation,90407005 Evaluation of psychiatric state of patient (procedure),veteran_self_harm.json
procedure->HCPCS,Short_Hospital_Stay,"74857009 Hospital admission, short-term, 24 hours (procedure)",veteran_self_harm.json
procedure->HCPCS,Followup_Psychiatric_Evaluation,88848003 Psychiatric follow-up (procedure),veteran_self_harm.json
procedure->HCPCS,Autopsy_Examination,29240004 Autopsy examination (procedure),veteran_self_harm.json
procedure->HCPCS,Referral to Echocardiography,390791001 Referral for echocardiography (procedure),vhd_aortic.json
procedure->HCPCS,Nutrition_Intervention_Procedure,290045001 Kitchen practice (regime/therapy),weight_loss/mend_week.json
procedure->HCPCS,Patient referral for dental care,103697008 Patient referral for dental care (procedure),wellness_encounters.json
procedure->HCPCS,Go see a Dentist,103697008 Patient referral for dental care (procedure),wellness_encounters.json
